"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
"Total"	"Arkansas"	"05"	"2017"	"2017"			3039	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jan., 2018"	"2018/01"	256	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Feb., 2018"	"2018/02"	240	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Mar., 2018"	"2018/03"	245	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Apr., 2018"	"2018/04"	214	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"May, 2018"	"2018/05"	218	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jun., 2018"	"2018/06"	243	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Jul., 2018"	"2018/07"	224	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Aug., 2018"	"2018/08"	227	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Sep., 2018"	"2018/09"	232	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Oct., 2018"	"2018/10"	218	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Nov., 2018"	"2018/11"	233	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	"Dec., 2018"	"2018/12"	277	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2018"	"2018"			2827	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jan., 2019"	"2019/01"	258	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Feb., 2019"	"2019/02"	265	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Mar., 2019"	"2019/03"	283	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Apr., 2019"	"2019/04"	235	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"May, 2019"	"2019/05"	257	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jun., 2019"	"2019/06"	206	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Jul., 2019"	"2019/07"	261	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Aug., 2019"	"2019/08"	240	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Sep., 2019"	"2019/09"	219	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Oct., 2019"	"2019/10"	221	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Nov., 2019"	"2019/11"	238	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	"Dec., 2019"	"2019/12"	245	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2019"	"2019"			2928	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"					31618	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Jan., 2009"	"2009/01"	239	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Feb., 2009"	"2009/02"	211	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Mar., 2009"	"2009/03"	240	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Apr., 2009"	"2009/04"	239	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"May, 2009"	"2009/05"	230	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Jun., 2009"	"2009/06"	222	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Jul., 2009"	"2009/07"	236	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Aug., 2009"	"2009/08"	216	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Sep., 2009"	"2009/09"	223	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Oct., 2009"	"2009/10"	254	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Nov., 2009"	"2009/11"	243	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	"Dec., 2009"	"2009/12"	258	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2009"	"2009"			2811	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Jan., 2010"	"2010/01"	308	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Feb., 2010"	"2010/02"	243	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Mar., 2010"	"2010/03"	254	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Apr., 2010"	"2010/04"	238	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"May, 2010"	"2010/05"	259	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Jun., 2010"	"2010/06"	231	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Jul., 2010"	"2010/07"	218	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Aug., 2010"	"2010/08"	250	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Sep., 2010"	"2010/09"	234	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Oct., 2010"	"2010/10"	238	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Nov., 2010"	"2010/11"	238	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	"Dec., 2010"	"2010/12"	226	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2010"	"2010"			2937	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Jan., 2011"	"2011/01"	286	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Feb., 2011"	"2011/02"	268	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Mar., 2011"	"2011/03"	255	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Apr., 2011"	"2011/04"	242	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"May, 2011"	"2011/05"	251	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Jun., 2011"	"2011/06"	232	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Jul., 2011"	"2011/07"	223	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Aug., 2011"	"2011/08"	245	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Sep., 2011"	"2011/09"	216	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Oct., 2011"	"2011/10"	227	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Nov., 2011"	"2011/11"	236	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	"Dec., 2011"	"2011/12"	249	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2011"	"2011"			2930	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Jan., 2012"	"2012/01"	251	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Feb., 2012"	"2012/02"	227	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Mar., 2012"	"2012/03"	247	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Apr., 2012"	"2012/04"	223	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"May, 2012"	"2012/05"	237	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Jun., 2012"	"2012/06"	237	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Jul., 2012"	"2012/07"	263	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Aug., 2012"	"2012/08"	239	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Sep., 2012"	"2012/09"	231	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Oct., 2012"	"2012/10"	236	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Nov., 2012"	"2012/11"	271	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	"Dec., 2012"	"2012/12"	244	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2012"	"2012"			2906	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Jan., 2013"	"2013/01"	278	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Feb., 2013"	"2013/02"	271	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Mar., 2013"	"2013/03"	263	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Apr., 2013"	"2013/04"	255	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"May, 2013"	"2013/05"	234	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Jun., 2013"	"2013/06"	228	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Jul., 2013"	"2013/07"	236	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Aug., 2013"	"2013/08"	246	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Sep., 2013"	"2013/09"	224	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Oct., 2013"	"2013/10"	237	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Nov., 2013"	"2013/11"	274	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	"Dec., 2013"	"2013/12"	283	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2013"	"2013"			3029	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Jan., 2014"	"2014/01"	274	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Feb., 2014"	"2014/02"	251	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Mar., 2014"	"2014/03"	278	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Apr., 2014"	"2014/04"	237	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"May, 2014"	"2014/05"	295	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Jun., 2014"	"2014/06"	237	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Jul., 2014"	"2014/07"	265	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Aug., 2014"	"2014/08"	246	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Sep., 2014"	"2014/09"	253	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Oct., 2014"	"2014/10"	261	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Nov., 2014"	"2014/11"	284	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	"Dec., 2014"	"2014/12"	264	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2014"	"2014"			3145	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Jan., 2015"	"2015/01"	267	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Feb., 2015"	"2015/02"	252	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Mar., 2015"	"2015/03"	270	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Apr., 2015"	"2015/04"	277	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"May, 2015"	"2015/05"	264	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Jun., 2015"	"2015/06"	247	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Jul., 2015"	"2015/07"	228	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Aug., 2015"	"2015/08"	224	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Sep., 2015"	"2015/09"	227	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Oct., 2015"	"2015/10"	230	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Nov., 2015"	"2015/11"	231	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	"Dec., 2015"	"2015/12"	267	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2015"	"2015"			2984	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Jan., 2016"	"2016/01"	248	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Feb., 2016"	"2016/02"	254	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Mar., 2016"	"2016/03"	254	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Apr., 2016"	"2016/04"	235	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"May, 2016"	"2016/05"	258	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Jun., 2016"	"2016/06"	242	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Jul., 2016"	"2016/07"	242	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Aug., 2016"	"2016/08"	260	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Sep., 2016"	"2016/09"	255	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Oct., 2016"	"2016/10"	227	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Nov., 2016"	"2016/11"	228	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	"Dec., 2016"	"2016/12"	277	Not Applicable	Not Applicable
"Total"	"Mississippi"	"28"	"2016"	"2016"			2980	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Jan., 2017"	"2017/01"	263	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Feb., 2017"	"2017/02"	213	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Mar., 2017"	"2017/03"	253	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"Apr., 2017"	"2017/04"	232	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	"May, 2017"	"2017/05"	257	Not Applicable	Not Applicable
